alignment,aln_length,avg_identity
FBgn0032184_2L_10122128_10122373,60,22.0
FBgn0032176_2L_10028933_10029298,60,31.0
FBgn0050376_2R_8263485_8263645,60,26.0
FBgn0035477_3L_3946118_3947278,60,21.0
FBgn0039145_3R_24054926_24055092,60,32.0
FBgn0036217_3L_11870456_11870679,60,4.0
FBgn0039323_3R_25314493_25314701,60,27.0
FBgn0052702_X_9558664_9558793,60,26.0
FBgn0039868_3R_31737866_31737999,60,31.0
FBgn0037811_3R_10340518_10340872,60,0.0
FBgn0029750_X_5302987_5303251,60,12.0
FBgn0264899_3R_17433990_17434078,55,9.0
FBgn0265046_2R_22090794_22090894,60,9.0
FBgn0024245_2L_19338668_19339197,60,30.0
FBgn0030890_X_18078490_18079686,60,26.0
FBgn0034567_2R_20983837_20984400,60,16.0
FBgn0036790_3L_18575378_18576326,60,33.0
FBgn0036772_3L_17909482_17909781,60,13.0
FBgn0261291_3R_11144345_11144541,60,14.0
FBgn0038301_3R_15211276_15211578,60,34.0
FBgn0031739_2L_5800516_5800902,60,33.0
FBgn0050073_2R_14371986_14372393,60,34.0
FBgn0033215_2R_7714087_7714182,60,31.0
FBgn0034160_2R_16817384_16817577,60,32.0
FBgn0035608_3L_5497522_5497738,60,11.0
FBgn0034901_2R_23752389_23752495,60,30.0
FBgn0051467_3R_10705169_10705324,60,34.0
FBgn0025573_2R_21881351_21881506,60,28.0
FBgn0031302_2L_1113917_1114138,60,24.0
FBgn0024191_2L_5723736_5723944,60,23.0
FBgn0037238_3R_4363954_4364506,60,4.0
FBgn0030456_X_13156830_13157372,60,34.0
FBgn0051634_2L_6625137_6625420,60,34.0
FBgn0053125_2L_2648359_2648472,60,25.0
FBgn0267339_3R_24149019_24149144,60,24.0
FBgn0000092_X_2692731_2692928,60,24.0
FBgn0028948_2L_15615356_15615551,60,31.0
FBgn0038038_3R_12407986_12408107,60,27.0
FBgn0053329_3R_14222073_14222160,54,34.0
FBgn0266962_3L_6931022_6931480,60,30.0
FBgn0030297_X_11411782_11411944,60,33.0
FBgn0032913_2L_21090802_21090899,60,13.0
FBgn0034081_2R_16148811_16149035,60,13.0
FBgn0052109_3L_12746445_12746770,60,30.0
FBgn0053120_2L_18841399_18841510,60,35.0
FBgn0030941_X_18624041_18624957,60,35.0
FBgn0262036_2L_9428469_9428740,60,26.0
FBgn0052204_3L_18922418_18923480,60,33.0
FBgn0053710_3L_19951953_19952212,60,19.0
FBgn0039800_3R_30744604_30744786,60,21.0
FBgn0260243_3R_8990644_8990962,60,32.0
FBgn0262484_3L_3483831_3483959,60,31.0
FBgn0032811_2L_19579092_19579490,60,32.0
FBgn0032193_2L_10209852_10210027,60,12.0
FBgn0051015_3R_30646105_30646454,60,26.0
FBgn0035440_3L_3333118_3333477,60,22.0
FBgn0035567_3L_4687586_4687828,60,30.0
FBgn0033093_2R_6695038_6695187,60,29.0
FBgn0037086_3L_21491398_21491480,49,19.0
FBgn0263855_2R_5969098_5969272,60,34.0
FBgn0038811_3R_20591023_20591118,60,16.0
FBgn0026749_X_13385913_13386566,60,18.0
FBgn0032631_2L_17287426_17287663,60,30.0
FBgn0030409_X_12628216_12628445,60,24.0
FBgn0051792_2L_19002422_19002713,60,33.0
FBgn0262003_3R_17413508_17413639,60,13.0
FBgn0046685_3R_24627065_24627408,60,19.0
FBgn0266452_3L_15112664_15113003,60,31.0
FBgn0027603_X_19202102_19202904,60,15.0
FBgn0262116_2R_4186834_4187626,60,0.0
FBgn0033096_2R_6716341_6716574,60,34.0
FBgn0032523_2L_13413782_13413893,60,32.0
FBgn0051606_2L_8148246_8148356,60,34.0
FBgn0043001_X_12017224_12017483,60,29.0
FBgn0039058_3R_23158016_23158152,60,15.0
FBgn0036809_3L_18721892_18722362,60,10.0
FBgn0051861_2L_12162462_12162605,60,26.0
FBgn0262937_3L_1298295_1298497,60,35.0
FBgn0054002_3L_17860354_17860482,60,11.0
FBgn0033074_2R_6226714_6226884,60,29.0
FBgn0031077_X_19859742_19861242,45,12.0
FBgn0036324_3L_12901246_12901407,60,20.0
FBgn0029711_X_4544616_4546586,60,18.0
FBgn0003567_3R_14304454_14304840,60,16.0
FBgn0020376_2L_4121409_4121627,60,16.0
FBgn0053172_X_15772791_15772985,60,15.0
FBgn0052557_X_17852957_17853061,60,28.0
FBgn0265576_2R_17616498_17617302,60,29.0
FBgn0034202_2R_17156533_17157206,60,16.0
FBgn0038694_3R_19247051_19247301,60,31.0
FBgn0015571_3R_7538971_7539075,60,26.0
FBgn0031378_2L_1981894_1982099,60,14.0
FBgn0041094_3L_11254442_11256172,60,32.0
FBgn0037074_3L_21337680_21338385,60,16.0
FBgn0033645_2R_11684164_11684542,60,12.0
FBgn0030331_X_11735878_11736617,60,31.0
FBgn0034471_2R_19712818_19712932,60,30.0
FBgn0260749_2L_10272324_10272744,60,24.0
FBgn0031644_2L_4891154_4891277,60,32.0
FBgn0042205_3R_11628376_11628452,43,35.0
FBgn0014903_X_1033023_1033165,60,28.0
FBgn0265197_3R_17265589_17265821,60,22.0
FBgn0039488_3R_27115151_27115263,60,12.0
FBgn0032900_2L_20871022_20871472,60,32.0
FBgn0030440_X_13003954_13004182,60,27.0
FBgn0030298_X_11413466_11413691,33,20.0
FBgn0032754_2L_19077275_19077408,60,17.0
FBgn0266710_X_14718272_14718388,60,28.0
FBgn0265063_3R_19297245_19297429,60,16.0
FBgn0052450_3L_22330396_22330657,60,17.0
FBgn0030037_X_8433922_8434677,60,31.0
FBgn0031799_2L_6332880_6333325,60,9.0
FBgn0025807_3L_18870044_18870385,60,18.0
FBgn0033076_2R_6600043_6600397,60,18.0
FBgn0037665_3R_9252932_9253123,60,4.0
FBgn0052544_X_18860892_18861964,60,25.0
FBgn0001977_2L_15036292_15036553,60,34.0
FBgn0278604_3R_9714094_9714675,60,18.0
FBgn0052475_3L_26045_26308,60,27.0
FBgn0002865_3R_28292430_28292656,60,35.0
FBgn0031749_2L_5908926_5909080,60,21.0
FBgn0033952_2R_14656797_14656911,60,19.0
FBgn0031146_X_21039513_21039748,60,30.0
FBgn0263742_2R_20789294_20789585,60,33.0
FBgn0265256_2L_20531592_20531833,60,31.0
FBgn0051473_3R_7812851_7813009,60,26.0
FBgn0030773_X_16699151_16699360,60,32.0
FBgn0026879_X_624756_624928,60,34.0
FBgn0033439_2R_9707403_9707580,60,17.0
FBgn0024187_3L_7916649_7916917,60,32.0
FBgn0259736_3R_22131730_22131820,57,19.0
FBgn0036496_3L_15472196_15472654,60,13.0
FBgn0030654_X_15570379_15570981,60,11.0
FBgn0262150_2L_15810570_15811373,60,15.0
FBgn0027574_3R_27114599_27115126,60,6.0
FBgn0038334_3R_15381406_15382131,60,27.0
FBgn0033515_2R_10377127_10377989,60,26.0
FBgn0043455_3R_24049055_24049168,60,16.0
FBgn0039139_3R_24034120_24034257,60,20.0
FBgn0028668_3L_11475441_11475552,60,6.0
FBgn0052720_X_7535624_7535911,60,15.0
FBgn0036750_3L_17745172_17745405,60,13.0
FBgn0283509_2R_23985174_23985559,60,35.0
FBgn0010294_X_3240025_3240228,60,25.0
FBgn0015010_X_14784663_14785344,60,30.0
FBgn0038741_3R_19875973_19876245,60,28.0
FBgn0051928_2L_1493537_1493645,60,24.0
FBgn0036808_3L_18696401_18697195,60,16.0
FBgn0036749_3L_17742252_17742540,60,27.0
FBgn0033900_2R_14159095_14159458,60,35.0
FBgn0033247_2R_7991201_7991283,49,19.0
FBgn0037937_3R_11693409_11693605,60,11.0
FBgn0052208_3L_19471655_19471761,60,32.0
FBgn0040607_3R_26726491_26726681,60,23.0
FBgn0002906_3R_11736809_11737058,60,13.0
